sitename; hostname; SRM impl; SRM ver; total (GB); used (GB); filling rate (%); % of VO total space; % of VO used space
WCSS64;darkmass.wcss.wroc.pl;DPM;unset;429;137;31,9347;0,0098;0,0068
LIP-Lisbon;se05.lip.pt;DPM;1.8.2;105;80;76,1905;0,0024;0,004
CYFRONET-LCG2;dpm.cyf-kr.edu.pl;DPM;1.8.2;50800;20871;41,0846;1,1597;1,0337
IN2P3-CPPM;marsedpm.in2p3.fr;DPM;1.8.0;104331;4396;4,2135;2,3817;0,2177
UA-KNU;arc.univ.kiev.ua;DPM;1.7.4;2164;765;35,3512;0,0494;0,0379
SCAI;scaise-2.scai.fraunhofer.de;DPM;1.8.0;4729;1407;29,7526;0,108;0,0697
csUCCie;gridstore.ucc.ie;DPM;1.7.2;1268;90;7,0978;0,0289;0,0045
HG-07-StratusLab;vm134.grnet.stratuslab.eu;DPM;1.8.0;3097;1252;40,4262;0,0707;0,062
OBSPM;se-dpm-server-grid.obspm.fr;DPM;1.8.0;5823;2708;46,5052;0,1329;0,1341
INFN-CAGLIARI;grid003.ca.infn.it;DPM;1.8.2;2164;490;22,6433;0,0494;0,0243
csTCDie;gridstore.cs.tcd.ie;DPM;1.7.2;12755;8569;67,1815;0,2912;0,4244
WARSAW-EGEE;se.polgrid.pl;DPM;1.8.0;5329;5089;95,4963;0,1216;0,2521
IN2P3-LPC;clrlcgse01.in2p3.fr;DPM;1.8.2;6566;1505;22,9211;0,1499;0,0745
UKI-SOUTHGRID-BHAM-HEP;epgse1.ph.bham.ac.uk;DPM;1.8.2;6435;3492;54,2657;0,1469;0,173
CY-01-KIMON;plethon.grid.ucy.ac.cy;DPM;1.8.0;3599;1973;54,8208;0,0822;0,0977
BEIJING-LCG2;ccsrm.ihep.ac.cn;DPM;1.8.0;586;443;75,5973;0,0134;0,0219
BG04-ACAD;se03.grid.acad.bg;dCache;1.9.1;1100;123;11,1818;0,0251;0,0061
UNINA-EGEE;se.scope.unina.it;DPM;1.7.2;17041;558;3,2745;0,389;0,0276
egee.srce.hr;se1-egee.srce.hr;DPM;1.8.1;2487;202;8,1222;0,0568;0,01
IBCP-GBIO;grive12.ibcp.fr;DPM;1.8.0;2393;368;15,3782;0,0546;0,0182
GRIF;grid05.lal.in2p3.fr;DPM;1.8.0;65635;60557;92,2633;1,4983;2,9993
GRIF;node12.datagrid.cea.fr;DPM;1.8.0;3691;1774;48,0629;0,0843;0,0879
GRIF;polgrid4.in2p3.fr;DPM;1.8.0;34867;28712;82,3472;0,7959;1,4221
TR-05-BOUN;reyhan.grid.boun.edu.tr;DPM;1.8.0;738;294;39,8374;0,0168;0,0146
BG03-NGCC;se.ngcc.acad.bg;dCache;1.9.5;1700;894;52,5882;0,0388;0,0443
HG-05-FORTH;se01.ariagni.hellasgrid.gr;DPM;1.8.2;3219;716;22,2429;0,0735;0,0355
TUDresden-ZIH;ophelia.zih.tu-dresden.de;dCache;1.9.12;107;25;23,3645;0,0024;0,0012
CIEMAT-TIC;se01-tic.ciemat.es;DPM;1.7.3;35641;24910;69,8914;0,8136;1,2338
UPorto;hades.up.pt;DPM;1.7.4;1082;735;67,9298;0,0247;0,0364
GR-01-AUTH;se01.grid.auth.gr;DPM;1.8.2;2952;2237;75,7791;0,0674;0,1108
SAMPA;sampase.if.usp.br;DPM;1.8.2;69;7;10,1449;0,0016;0,0003
